Date,Open,High,Low,Close,Volume,Adjusted
2022-07-13,20911.529297,21040.339844,20751.480469,20797.949219,2056959300,20797.949219
2022-07-14,20818.269531,20888.800781,20554.150391,20751.210938,2371204800,20751.210938
2022-07-15,20522.109375,20656.960938,20215.970703,20297.720703,2526023900,20297.720703
2022-07-18,20479.580078,20866.330078,20294.140625,20846.179688,2053608500,20846.179688
2022-07-19,20719.199219,20758.710938,20549.439453,20661.060547,1287501200,20661.060547
2022-07-20,20968.419922,21111.779297,20884.919922,20890.220703,1405277200,20890.220703
2022-07-21,20811.599609,20827.609375,20527.349609,20574.630859,1760411700,20574.630859
2022-07-22,20717.470703,20788.460938,20513.800781,20609.140625,1327660200,20609.140625
2022-07-25,20516.339844,20595.089844,20353.679688,20562.939453,1377192600,20562.939453
2022-07-26,20676.679688,20952.449219,20631.820313,20905.880859,1701166300,20905.880859
2022-07-27,20684.480469,20770.099609,20572.419922,20670.039063,1729858600,20670.039063
2022-07-28,20705.460938,20772.630859,20533.419922,20622.679688,1965166200,20622.679688
2022-07-29,20647.449219,20647.449219,20050.050781,20156.509766,2181726400,20156.509766
2022-08-01,20026.599609,20251.429688,19883.919922,20165.839844,1970707400,20165.839844
2022-08-02,19943.160156,19943.160156,19515.539063,19689.210938,2291211500,19689.210938
2022-08-03,19865.689453,19921.910156,19685.480469,19767.089844,1789743100,19767.089844
2022-08-04,20011.25,20216.580078,19995.460938,20174.039063,1924409500,20174.039063
2022-08-05,20283.589844,20283.589844,20096.539063,20201.939453,1635424000,20201.939453
2022-08-08,20065.349609,20171.890625,19954.039063,20045.769531,1376942200,20045.769531
2022-08-09,20039.300781,20250.869141,19856.230469,20003.439453,1497207600,20003.439453
2022-08-10,19956.509766,19956.509766,19469.109375,19610.839844,1730318000,19610.839844
2022-08-11,19840.570313,20082.429688,19789.960938,20082.429688,1600822900,20082.429688
2022-08-12,20158.289063,20208.019531,20011.380859,20175.619141,1567854600,20175.619141
2022-08-15,20038.480469,20260.660156,19984.039063,20040.859375,1393358500,20040.859375
2022-08-16,20107.140625,20173.400391,19662.609375,19830.519531,1947792800,19830.519531
2022-08-17,19995.769531,20069.849609,19800.580078,19922.449219,1411797700,19922.449219
2022-08-18,19991.939453,19991.939453,19675.460938,19763.910156,1586624700,19763.910156
2022-08-19,19656.800781,19898.179688,19656.800781,19773.029297,1399802300,19773.029297
2022-08-22,19572.419922,19825.929688,19564.189453,19656.980469,1596111900,19656.980469
2022-08-23,19644.230469,19701.550781,19377.089844,19503.25,1847479400,19503.25
2022-08-24,19542.240234,19542.240234,19189.539063,19268.740234,1997568500,19268.740234
2022-08-25,19418.460938,19990.310547,19418.460938,19968.380859,1684299400,19968.380859
2022-08-26,20138.689453,20185.150391,20050.970703,20170.039063,1868937800,20170.039063
2022-08-29,19960.289063,20073.939453,19889.669922,20023.220703,1595204700,20023.220703
2022-08-30,20062.730469,20062.730469,19645.570313,19949.029297,1658925400,19949.029297
2022-08-31,19589.849609,20173.019531,19564.839844,19954.390625,2783305100,19954.390625
2022-09-01,19761.720703,19839.509766,19532.859375,19597.310547,2000258900,19597.310547
2022-09-02,19572.470703,19630.800781,19342.490234,19452.089844,2095560800,19452.089844
2022-09-05,19299.089844,19299.089844,19064.789063,19225.699219,2181084500,19225.699219
2022-09-06,19261.699219,19358.019531,19107.599609,19202.730469,1716319000,19202.730469
2022-09-07,18915.869141,19068.900391,18818.779297,19044.300781,1839592500,19044.300781
2022-09-08,19043.839844,19075.740234,18803.759766,18854.619141,1718131700,18854.619141
2022-09-09,18893.650391,19417.560547,18893.650391,19362.25,1994834000,19362.25
2022-09-13,19404.640625,19492.060547,19296.25,19326.859375,1787223000,19326.859375
2022-09-14,18933.300781,18989.220703,18797.789063,18847.099609,1731976600,18847.099609
2022-09-15,18833.900391,19013.029297,18833.900391,18930.380859,1797327700,18930.380859
2022-09-16,18732.439453,18905.279297,18678.220703,18761.689453,2793919500,18761.689453
2022-09-19,18695.349609,18697.089844,18494.539063,18565.970703,1745749500,18565.970703
2022-09-20,18700.679688,18861.470703,18685.460938,18781.419922,1478169400,18781.419922
2022-09-21,18638.849609,18638.849609,18434.650391,18444.619141,1629375400,18444.619141
2022-09-22,18080.929688,18195.089844,17965.330078,18147.949219,1729134100,18147.949219
2022-09-23,18055.589844,18165.949219,17926.289063,17933.269531,1776795400,17933.269531
2022-09-26,17781.869141,18077.640625,17727.400391,17855.140625,2557096600,17855.140625
2022-09-27,17838.650391,17904.210938,17648.419922,17860.310547,1900500000,17860.310547
2022-09-28,17703.390625,17703.390625,17184.539063,17250.880859,2948457300,17250.880859
2022-09-29,17570.169922,17629.669922,17046.830078,17165.869141,2534665600,17165.869141
2022-09-30,17165.929688,17344.810547,17016.279297,17222.830078,2113942500,17222.830078
2022-10-03,17050.25,17252.109375,16906.960938,17079.509766,1361001600,17079.509766
2022-10-05,17811.970703,18164.199219,17682.849609,18087.970703,2256107700,18087.970703
2022-10-06,18100.480469,18143.849609,17958.140625,18012.150391,1082368000,18012.150391
2022-10-07,17851.619141,17881.869141,17717.730469,17740.050781,1129251000,17740.050781
2022-10-10,17449.359375,17449.359375,17174.609375,17216.660156,1771824300,17216.660156
2022-10-11,17194.730469,17206.509766,16789.970703,16832.359375,1797693500,16832.359375
2022-10-12,16758.269531,17040.699219,16438.599609,16701.029297,2407431400,16701.029297
2022-10-13,16700.650391,16736.589844,16389.109375,16389.109375,2241934000,16389.109375
2022-10-14,16671.679688,17028.679688,16535.369141,16587.689453,2322665100,16587.689453
2022-10-17,16479.740234,16754.519531,16308.950195,16612.900391,2061247900,16612.900391
2022-10-18,16860.199219,16914.580078,16558.410156,16914.580078,1971282000,16914.580078
2022-10-19,16805.910156,16923.119141,16508.369141,16511.279297,1713974900,16511.279297
2022-10-20,16230.790039,16452.970703,16010.719727,16280.219727,2295268600,16280.219727
2022-10-21,16331.110352,16359.040039,16137.179688,16211.120117,2052413100,16211.120117
2022-10-24,15894.75,15993.879883,15082.839844,15180.69043,3597357500,15180.69043
2022-10-25,15242.099609,15435.370117,14947.389648,15165.589844,3275325600,15165.589844
2022-10-26,15096.320313,15584.05957,15041.400391,15317.669922,2718640800,15317.669922
2022-10-27,15721.269531,15833.280273,15410.969727,15427.94043,2526173200,15427.94043
2022-10-28,15424.94043,15441.990234,14770.089844,14863.05957,3051258500,14863.05957
2022-10-31,14830.69043,15113.150391,14597.30957,14687.019531,4183641700,14687.019531
2022-11-01,14859.919922,15632.849609,14859.919922,15455.269531,3787359000,15455.269531
2022-11-02,15389.549805,15867.240234,15276.759766,15827.169922,2774638200,15827.169922
2022-11-03,15477.740234,15623.179688,15301.669922,15339.490234,2544805200,15339.490234
2022-11-04,15442.759766,16513.160156,15442.759766,16161.139648,3951121100,16161.139648
2022-11-07,16031.790039,16821.890625,15980.849609,16595.910156,3227830100,16595.910156
2022-11-08,16640.599609,16719.009766,16429.810547,16557.310547,2071208700,16557.310547
2022-11-09,16552.800781,16730.199219,16213.030273,16358.519531,3270965100,16358.519531
2022-11-10,16138.219727,16138.219727,15945.200195,16081.040039,2204747800,16081.040039
2022-11-11,17120.050781,17368.039063,16829,17325.660156,5112566000,17325.660156
2022-11-14,17999.259766,18011.640625,17518.880859,17619.710938,5547517900,17619.710938
2022-11-15,17665.800781,18356.779297,17552.300781,18343.119141,4900022200,18343.119141
2022-11-16,18169.210938,18414.089844,18031.869141,18256.480469,3918387100,18256.480469
2022-11-17,18071.599609,18220.810547,17711.839844,18045.660156,2930448500,18045.660156
2022-11-18,18316.359375,18378.060547,17910.189453,17992.539063,2792874200,17992.539063
2022-11-21,17654.150391,17746.339844,17389.449219,17655.910156,2230983500,17655.910156
2022-11-22,17625.189453,17751.929688,17287.599609,17424.410156,3024902000,17424.410156
2022-11-23,17460.900391,17640.839844,17375.960938,17523.810547,2423764400,17523.810547
2022-11-24,17684.529297,17759.240234,17517.119141,17660.900391,2910419300,17660.900391
2022-11-25,17673.199219,17673.199219,17412.039063,17573.580078,3176711400,17573.580078
2022-11-28,17000.230469,17364.210938,16833.679688,17297.939453,2799254000,17297.939453
2022-11-29,17558.599609,18204.679688,17536.449219,18204.679688,4273394700,18204.679688
2022-11-30,18141.560547,18645.349609,18052.320313,18597.230469,5359650800,18597.230469
2022-12-01,19058.900391,19237.449219,18679.349609,18736.439453,4262000300,18736.439453
2022-12-02,18785.279297,18841.220703,18530.820313,18675.349609,3757394000,18675.349609
2022-12-05,19221.679688,19539.599609,19035.140625,19518.289063,4890142300,19518.289063
2022-12-06,19211.699219,19569.669922,19202.869141,19441.179688,3552078500,19441.179688
2022-12-07,19380.800781,19737.310547,18799.810547,18814.820313,5308866200,18814.820313
2022-12-08,18965.050781,19521.599609,18965.050781,19450.230469,2856166600,19450.230469
2022-12-09,19484.230469,19926.480469,19404.5,19900.869141,4023277500,19900.869141
2022-12-12,19594.519531,19718.080078,19366.220703,19463.630859,3115198500,19463.630859
2022-12-13,19458.019531,19707.75,19382.300781,19596.199219,2584117300,19596.199219
2022-12-14,19775.330078,19859.75,19528.710938,19673.449219,2758656100,19673.449219
2022-12-15,19612.669922,19675.679688,19233.859375,19368.589844,2243394000,19368.589844
2022-12-16,19343.699219,19621.130859,19130.529297,19450.669922,2875978600,19450.669922
2022-12-19,19472.210938,19786.289063,19255.949219,19352.810547,2238224700,19352.810547
2022-12-20,19156.939453,19283.140625,18885.199219,19094.800781,1938516900,19094.800781
2022-12-21,19190.910156,19255.740234,19063.300781,19160.490234,1348431000,19160.490234
2022-12-22,19537.449219,19735,19475.679688,19679.220703,1939795100,19679.220703
2022-12-23,19382.230469,19686.769531,19380.470703,19593.060547,1363741800,19593.060547
2022-12-28,19787.939453,20099.769531,19787.939453,19898.910156,2823780600,19898.910156
2022-12-29,19648.400391,19764.519531,19539.839844,19741.140625,2902362900,19741.140625
2022-12-30,20030.849609,20073.919922,19781.410156,19781.410156,1747706800,19781.410156
